Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
 Yunus LASALLEH,,MAS,,M,,,15/12/2011,2 years ineligibility,15 12 2014,,,,AAF ñ Methandienone,,
 Natalia ARTIC,,MDA,,F,,,03/07/2012,2 years ineligibility,23 07 2014,,,,AAF ñ Stanozolol,,
 Than Toe KHIM,,MYA,,F,,,12/10/2009,2 years ineligibility,31 03 2013,,,,AAF ñ Norandrosterone,,
  Tosin OGEDENGBE,,NGR,,M,,,07/07/2011,2 years ineligibility,22 08 2013,,,,Methylhexaneamine,,
 Olawuyi Ajibola RAHEEM,,NGR,,M,,,16/05/2012,2 years ineligibility,12 06 2014,,,,AAF ñ Clenbuterol & Metenolone,,
 Kwa Ihuefo SOROCHUKWU,,NGR,,F,,,25/06/2010,"8 years ineligibility (2nd
ADRV)",15 08 2018,,,,AAF ñ Norandrosterone,,
 Danuta PISKOROWSKA,,POL,,F,,,10/04/2011,2 years ineligibility,9 04 2013,,,,AAF ñ Formoterol,,
 Le„o CARVALHO,,POR,,M,,,19/07/2008,10 years ineligibility (2nd offence),17 08 2018,,,,AAF ñ Cocaine,,
 Nuno DA COSTA,,POR,,M,,,19/03/2011,2 years ineligibility,18 04 2013,,,,AAF - EPO,,
 Jose Manuel GONCALVES,,POR,,M,,,10/07/2011,2 years ineligibility,10 08 2013,,,,AAF ñ Nandrolone/Boldenone,,
 Abubaker KAMAL,,QAT,,F,,,15/12/2011,2 years ineligibility,8 01 2014,,,,AAF ñ EPO,,
 Dheeb MOHAMMED,,QAT,,M,,,24/11/2010,2 years ineligibility,4 12 2012,,,,AAF  - Testosterone,,
 Rodica CHIRITA,,ROU,,F,,,08/12/2005,Life ban,Life ban,,,,AAF - Stanozolol,,
 Ilie Bogdan MACOVEI,,ROU,,M,,,20/07/2012,2 years ineligibility,6 08 2014,,,,AAF - hCG,,
 Sebastian VARGA,,ROU,,M,,,03/06/2009,8 years ineligibility (2nd ADRV),2 09 2017,,,,AAF ñ Metabolites of metandienone,,
 Ruan Michael CLAASEN,,RSA,,M,,,05/05/2012,6 months ineligibility,12 12 2012,,,,AAF ñ Cannabis,,
 Andre KOEKEMOER,,RSA,,M,,,08/02/2012,2 years ineligibility,5 03 2014,,,,AAF - Stanozolol,,
 STRAATEN VAN,,RSA,,M,,,19/05/2012,6 months ineligibility,13 12 2012,,,,AAF ñ Methylhexaneamine,,
 Arthur BIGAEV,,RUS,,M,,,24/05/2011,2 years ineligibility,27 06 2013,,,,AAF ñ Testosterone,,
 Dementiy CHEPAREV,,RUS,,M,,,18/02/2012,2 years ineligibility,5 03 2014,,,,AAF - Fenoterol,,
 Alevtina GRISHCHENKO,,RUS,,F,,,07/08/2011,2 years ineligibility,17 08 2013,,,,AAF ñ Methandienone,,
 Veronika ILJINA,,RUS,,F,,,16/09/2011,2 years ineligibility,3 10 2013,,,,AAF ñ Dehydochloromethyltestosterone,,
 Irina KHORZANENKO,,RUS,,F,,,18/08/2004,Life ban (2nd offence),Life ban,,,,AAF ñ Stanozolol,,
 Irina KLIMENICHEVA,,RUS,,F,,,07/08/2011,2 years ineligibility,17 08 2013,,,,AAF ñ Bromantan,,
 Svetlana KLYUKA,,RUS,,F,,,15/08/2009,2 years ineligibility,9 02 2014,,,,"ABP Case - IAAF Rule 32.2b ñ Use/Attempted
use of a prohibited substance/method",,
 Maksim KOSTOMAROV,,RUS,,M,,,18/05/2011,2 years ineligibility,26 05 2013,,,,AAF ñ Methylhexaneamine,,
 Olga ORTINA,,RUS,,F,,,24/07/2011,2 years ineligibility,8 08 2013,,,,AAF ñ Oralturinabol,,
 Eugeniya PECHERINA,,RUS,,F,,,25/06/2011,2 years ineligibility,4 07 2013,,,,AAF  - Methandienone,,
 Dmitriy SOROKIN,,RUS,,M,,,18/05/2011,2 years ineligibility,26 05 2013,,,,AAF ñ Carphedon,,
 Oleg SYSOLETIN,,RUS,,M,,,21/07/2012,2 years ineligibility,30 07 2014,,,,AAF ñ Bromantan,,
 Lada TCHERNOVA,,RUS,,F,,,29/02/2012,Lifeban (2nd ADRV),Lifeban,,,,AAF ñ Bromantan,,
 Yuliya TUTAYEVA,,RUS,,F,,,27/06/2012,2 years ineligibility,6 08 2014,,,,AAF - Testosterone,,
 Igor URUSOV,,RUS,,M,,,07/08/2011,2 years ineligibility,17 08 2013,,,,AAF ñ  Dehydrochloromethyltestosterone,,
 Anna VLASOVA,,RUS,,F,,,15/05/2011,2 years ineligibility,26 05 2013,,,,AAF ñ Furosemide,,
 Monira ALSALEH,,SYR,,F,,,26/02/2010,Life ban (2nd ADRV),Life ban,,,,AAF- Stanozolol,,
 Handan KOCYGIT,,TUR,,F,,,13/05/2012,2 years ineligibility,29 05 2014,,,,AAF ñ Metenolone,,
 Svitlana CHERVAN,,UKR,,F,,,24/09/2010,2 years ineligibility,14 12 2013,,,,"IAAF  Rule  32.2(b)     Use/attempted  use  of  a
prohibited substance/method
IAAF  Rule32.2(f)  Possession  of  a  prohibited substance/method",,
 Uliana LEPSKA,,UKR,,F,,,17/07/2011,2 years ineligibility,3 08 2013,,,,AAF ñ Stanozolol,,
 Mark BLOCK,,USA,,M,,,01/01/2009,10 years ineligibility,31 12 2018,,,,"IAAF Rule 32.2 (h):
Administration/attempted administration of a prohibited substance to an athlete",,
 Matthew DI BUONO,,USA,,M,,,23/06/2011,4 years ineligibility,16 08 2015,,,,AAF ñ Steroids,,
 Byron DUHON,,USA,,M,,,13/07/2011,2 years ineligibility,20 10 2013,,,,Refusal - IAAF Rule 32.2 (c ),,
 Stephen SHUMAKER,,USA,,M,,,28/07/2011,2 years ineligibility,8 09 2013,,,,AAF ñ Hydrochlorothizide & Chlorothiazide,,
